Whole Plots,X1,X2,X3,X4,Y
1,0,0,0,1,
1,0,0,0,0,
1,0,0,1,0,
1,0,0,-1,-1,
2,0,-1,0,0,
2,0,-1,1,1,
2,0,-1,-1,-1,
2,0,-1,0,0,
3,0,0,0,-1,
3,0,0,1,0,
3,0,0,-1,1,
3,0,0,0,0,
4,-1,0,1,-1,
4,-1,0,-1,1,
4,-1,0,0,0,
4,-1,0,0,0,
5,1,0,0,-1,
5,1,0,0,0,
5,1,0,-1,0,
5,1,0,1,1,
6,-1,-1,1,-1,
6,-1,-1,1,1,
6,-1,-1,-1,-1,
6,-1,-1,-1,1,
7,0,1,0,1,
7,0,1,1,-1,
7,0,1,0,0,
7,0,1,-1,0,
8,-1,1,-1,-1,
8,-1,1,-1,0,
8,-1,1,1,1,
8,-1,1,1,-1,
9,1,1,1,-1,
9,1,1,-1,1,
9,1,1,1,1,
9,1,1,-1,-1,
10,1,-1,-1,0,
10,1,-1,0,1,
10,1,-1,1,-1,
11,0,0,-1,1,
11,0,0,0,0,
11,0,0,0,0,
12,0,0,1,0,
12,0,0,0,-1,
12,0,0,0,0,
