X1,X2,X3,X4,Y
"-0,216388713","-0,242617541","-0,814736275","0,7683293221",
"-0,987905695","-0,853482336","-0,069801067","0,3160040255",
"-0,091451349","-0,817865044","0,1231622392","0,9395364139",
"-0,923715303","0,144852365","0,9406266951","0,8458111651",
"-0,830800433","-0,509398645","-0,402846085","0,9884310527",
"-0,299777756","-0,934879268","0,8664996596","0,6830786478",
"0,2826109529","-0,502109851","0,5272407823","0,7314718013",
"0,7240898443","0,0250193496","-0,102017927","0,6622638945",
"0,7764347574","-0,883082426","-0,948563599","0,7898465055",
"0,2572443482","-0,773874679","-0,869981229","0,0540612755",
"-0,976916379","-0,056618953","0,2586719325","-0,322607318",
"-0,567008247","-0,894050561","-0,332535233","-0,957465297",
"-0,737912205","-0,77928772","0,9602308497","-0,674943345",
"0,0468622707","0,1907307973","-0,90915828","-0,992951881",
"0,4354776945","-0,263194624","-0,973863417","-0,49405841",
"-0,922200978","-0,588644087","-0,765984453","-0,820249367",
"0,1618394723","-0,875512272","0,426329028","-0,507946627",
"0,9957946184","-0,141608802","0,3525238812","-0,927259867",
"0,7575803863","-0,586552753","0,8319616607","-0,080110412",
"0,6571045595","-0,998428052","-0,528038742","-0,85717137",
"0,8216925665","-0,40455796","-0,622681845","0,2352884151",
"0,9426796105","-0,661136823","0,0354913366","-0,380397579",
"0,0995482331","-0,3612751","-0,198409594","-0,708702093",
"0,5696768892","0,9373351869","-0,351607755","-0,754434788",
"0,8913578694","0,9968793824","-0,826194275","-0,428947361",
"0,830810642","0,8356185596","-0,003788618","0,9941253504",
"0,4783875395","0,5940006647","-0,700516927","0,8777972029",
"-0,260519328","0,9917936991","0,3844933755","0,9025608695",
"0,1407156662","0,8999435652","0,2494833646","0,4702057779",
"0,6327248518","0,4988521027","0,9017324574","0,3468831662",
"0,4142480929","-0,04214817","0,787579641","0,9738906339",
"0,2247422328","0,0903246318","0,982132296","-0,292218228",
"0,9012727588","0,3217192732","0,6027554446","0,1947846683",
"0,5375266213","0,3848467906","0,1792488182","-0,02602056",
"0,6726196641","0,1772268705","0,2871788181","-0,545794699",
"0,4579874529","0,8082346875","0,9466592899","-0,976253779",
"-0,060423611","0,2590738029","0,8237045849","-0,801525618",
"-0,162153776","0,753838791","0,4976897896","-0,231873738",
"-0,866928463","0,9166416887","0,6154961077","-0,448200547",
"-0,624891537","-0,320990513","0,5644915734","0,0214426409",
"-0,853042388","0,2483932936","0,074120704","0,5391999573",
"-0,492587101","0,6439680583","0,6690486355","0,6583752918",
"-0,008937632","-0,103522148","-0,366482227","0,3896891325",
"-0,050041099","0,7955371568","-0,985505916","0,2089308725",
"-0,803171814","0,4850444686","-0,850964566","-0,162116298",
"-0,7230465","0,8718091095","-0,261265007","0,8177946651",
"-0,534268663","-0,005378867","-0,543777221","0,145514308",
"-0,342910466","0,423985125","-0,299836209","-0,407222535",
"-0,292785275","0,7215808943","-0,684317687","-0,914991258",
"-0,598782391","0,5782519727","0,1444388884","-0,617721796",
