Whole Plots,X1,X2,X3,X4,Y
1,0,0,0,0,
1,0,0,-1,1,
1,0,0,0,0,
1,0,0,1,1,
2,0,0,0,0,
2,0,0,0,0,
2,0,0,0,0,
2,0,0,1,1,
3,-1,1,1,1,
3,-1,1,-1,1,
3,-1,1,-1,-1,
3,-1,1,1,-1,
4,-1,-1,-1,1,
4,-1,-1,0,0,
4,-1,-1,-1,-1,
4,-1,-1,1,-1,
5,-1,0,-1,0,
5,-1,0,0,-1,
5,-1,0,0,0,
5,-1,0,1,1,
6,0,1,0,1,
6,0,1,1,0,
6,0,1,-1,-1,
7,1,-1,1,1,
7,1,-1,-1,-1,
7,1,-1,0,0,
8,-1,-1,-1,-1,
8,-1,-1,0,1,
8,-1,-1,1,0,
9,0,-1,1,-1,
9,0,-1,-1,0,
9,0,-1,0,1,
10,0,0,0,0,
10,0,0,1,0,
10,0,0,0,-1,
11,1,1,-1,1,
11,1,1,0,0,
11,1,1,1,-1,
12,1,1,0,0,
12,1,1,1,1,
12,1,1,-1,-1,
13,1,-1,0,-1,
13,1,-1,1,0,
13,1,-1,-1,1,
14,1,0,1,-1,
14,1,0,-1,0,
14,1,0,0,1,
15,0,0,0,-1,
15,0,0,0,0,
15,0,0,-1,0,
